asset_id;contract_address;asset_name;collection_name;Artist;Asset Type;extraMetadata
10;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmfA8UwpQVYm9MGLmgX7BCfGoX5ECQcVbADrUgJCDMktdc"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmeiZNoKuPbat5F8M91axHvXtroaBXhZsGuotm1FyMVUiG""}"
11;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""Qmdm9qYiX8CVYXx1vRtfzYwikRCRbu98GQDTa7Qnp4o8De"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmWPoLiQpYGAQ5KEaeKzkCL42PXu8ttdoapDGRTdXz3Frq""}"
12;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmWUkgGeJa9xqgYYjzN57rNsCRAvbdVqcEVC7ThW4g31gS"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmWLXmRNgjVEW1ghAV7aFAXATBCT2VktwKF9SdbSHSX5tk""}"
13;0x3e43944d977dea22511da6d33c0cab666a604515;Token Jukebox Silver Edition (Mix: 10);Async Music Limited Editions;Mighty33;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""DIGITAL"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Mighty33"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x74ec638d8e82ab4e7aacac77ef47a49e735ca7dd"", ""0x8c62dd796e13ad389ad0bfda44bb231d317ef6c6""], ""signatures"": [{""address"": ""0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0xa1169a4128e59be88ba2f3104089801f519cb69e72bbefe4e15fd358104aff2179cfb78ec1d099d7d668e47560889d57ee7a5e53f551d173d4aac32ab76e31991b"", ""version"": ""2""}, {""address"": ""0x8C62dD796e13aD389aD0bfDA44BB231D317Ef6C6"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x0fc853f53104c8aa081785092f8d8f3638d1f47f1f74ea03caae75eabb16d85610b84ccb14f39b10dc7605e85a7008f7adfeefd5d1aa408ad42249ab08b744281b"", ""version"": ""2""}]}, ""image_original_url"": ""QmVu9tQp5ZGuXPSA56oJCn4gTVDYXfECtP26MpzTKDwHJm"", ""animation_original_url"": ""QmZLjC3nMUGGwRzi2v66U1NjuBE2KwAdtCLc7mtxYL59vm"", ""metadata_original_url"": ""QmezX7PM34zEQpwNFB32a1kjbqubqcWn6Up1h2gSD6EQVP""}"
14;0x3e43944d977dea22511da6d33c0cab666a604515;Betty's Notebook Silver Edition (Mix: 0010);Async Music Limited Editions;Bryan Brinkman;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""Verdigris Ensemble"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Bryan Brinkman"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x7d213164198040f9b665e2bd803692c2e7988d02"", ""0x1e8e749b2b578e181ca01962e9448006772b24a2""], ""signatures"": [{""address"": ""0x7D213164198040f9B665E2bd803692c2E7988D02"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8fa7057614a6fe3da3747846ad05b0cb494ceee0c7400cabb9d8bcf6024f32612d08671024751f0caa65a19f3c4334423ace91f8bf68d85e8229152c7d59b12000"", ""version"": ""2""}, {""address"": ""0x1e8E749b2B578E181Ca01962e9448006772b24a2"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515"", ""sig"": ""0xc3d3c299d28289007b32dfbc7b54633621f1a94035762b9aaa86b19b1792bc6948abaed880a5db13ae8bd5f378b8bf754639a9b81604b79b908303b4b245195b1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmX7WKmKhsAJYDcPRMvTQrKThxCMPwqBqw3tZvP1oU9biA"", ""animation_original_url"": ""QmbRSBXezW65XEgTNX5Z3v9GH53QjcBY9pozuZR3G8pG7y"", ""metadata_original_url"": ""QmP4xtB7sVSgSxByE3CzEN1w97FehdobB4JA2hBWBuaB6y""}"
15;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmWhuEQHguJRdzyfe3EMRnU12tXNvY2zZaG7ZwR8ZgVPh2"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmeCsdr35n1EJvYPHPpHfW4RKmNyE4WHWJPhP2SiaTvgB5""}"
16;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Gold Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmWv4pdL1m8qXDuFhP3bqdiRJjAsWL9sdhEgESCViB4gsD"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmZYscqE3KTys8599gw8sR5gp4X3DJGHDJf4Qzrxz5dJMt""}"
17;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmaDCG67mcULUCX2MJcaGxuGv58G9MRreidnuc3cBhG8VE"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmahT6TTRuQdbyu2y3GsEbRYzx377QSvD8VEZRViJSzPhk""}"
18;0x3e43944d977dea22511da6d33c0cab666a604515;LEAVING  Silver Edition (Mix: 012003);Async Music Limited Editions;HMLTD;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""HMLTD"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x13591d9f20bfeccc5255e3e3fcdbd9b684f82011""], ""signatures"": [{""address"": ""0x13591d9f20Bfeccc5255E3E3FcDBd9B684f82011"", ""msg"": ""Verifying Limited Editions for LEAVING minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8ae6ad5879a74060a3ddf934757f4f079a6ca7c8008af5cf2ce2dcdbe0afe9fd61401a2b23203da5960ff0c3232bbe0261529ae69e5912bed95f286dbb2682591b"", ""version"": ""2""}]}, ""image_original_url"": ""QmWKazBe3FP6MQLki1C8s6gZAHNuSAxwSAdf4pE74AirZe"", ""animation_original_url"": ""QmNhTvpWHDHvAuxQLBzPC1TzrDveiVGogFAzZrRcg4WfQ7"", ""metadata_original_url"": ""QmZL27XW4JMcb5Q2hTPeEbN2TYkC7zMEtLs2k6htp1zzjb""}"
19;0x3e43944d977dea22511da6d33c0cab666a604515;Betty's Notebook Silver Edition (Mix: 0010);Async Music Limited Editions;Bryan Brinkman;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""Verdigris Ensemble"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Bryan Brinkman"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x7d213164198040f9b665e2bd803692c2e7988d02"", ""0x1e8e749b2b578e181ca01962e9448006772b24a2""], ""signatures"": [{""address"": ""0x7D213164198040f9B665E2bd803692c2E7988D02"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8fa7057614a6fe3da3747846ad05b0cb494ceee0c7400cabb9d8bcf6024f32612d08671024751f0caa65a19f3c4334423ace91f8bf68d85e8229152c7d59b12000"", ""version"": ""2""}, {""address"": ""0x1e8E749b2B578E181Ca01962e9448006772b24a2"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515"", ""sig"": ""0xc3d3c299d28289007b32dfbc7b54633621f1a94035762b9aaa86b19b1792bc6948abaed880a5db13ae8bd5f378b8bf754639a9b81604b79b908303b4b245195b1b"", ""version"": ""2""}]}, ""image_original_url"": ""Qma8qwvtsmzeNZUWyrsErFA4ZNTH1Vcp5gqt1pJ2iGkQ3b"", ""animation_original_url"": ""QmbRSBXezW65XEgTNX5Z3v9GH53QjcBY9pozuZR3G8pG7y"", ""metadata_original_url"": ""QmTxAxJMHybea7wKUtu1a1Pd25ZYf7Y3ciK5wzmZRS172L""}"
